,i,g,status
0,0,0,FP
1,0,1,FP
2,0,2,TN
3,0,3,TN
4,0,4,TN
5,0,5,TN
6,0,6,TN
7,0,7,TN
8,0,8,TN
9,0,9,TN
10,0,10,TN
11,0,11,TN
12,0,12,TN
13,0,13,TN
14,0,14,TN
15,0,15,TN
16,0,16,TN
17,0,17,TN
18,0,18,TN
19,0,19,TN
20,0,20,TN
21,0,21,TN
22,0,22,TN
23,0,23,TN
24,0,24,TN
25,0,25,TN
26,1,0,FP
27,1,1,FP
28,1,2,TN
29,1,3,TN
30,1,4,TN
31,1,5,TN
32,1,6,TN
33,1,7,TN
34,1,8,TN
35,1,9,TN
36,1,10,TN
37,1,11,TN
38,1,12,TN
39,1,13,TN
40,1,14,TN
41,1,15,TN
42,1,16,TN
43,1,17,TN
44,1,18,TN
45,1,19,TN
46,1,20,TN
47,1,21,TN
48,1,22,TN
49,1,23,TN
50,1,24,TN
51,1,25,TN
52,2,0,TP
53,2,1,TP
54,2,2,TP
55,2,3,TP
56,2,4,TP
57,2,5,TP
58,2,6,TP
59,2,7,TP
60,2,8,TP
61,2,9,TP
62,2,10,TP
63,2,11,TP
64,2,12,FN
65,2,13,FN
66,2,14,FN
67,2,15,FN
68,2,16,FN
69,2,17,FN
70,2,18,FN
71,2,19,FN
72,2,20,FN
73,2,21,FN
74,2,22,FN
75,2,23,FN
76,2,24,FN
77,2,25,FN
78,3,0,FP
79,3,1,FP
80,3,2,TN
81,3,3,TN
82,3,4,TN
83,3,5,TN
84,3,6,TN
85,3,7,TN
86,3,8,TN
87,3,9,TN
88,3,10,TN
89,3,11,TN
90,3,12,TN
91,3,13,TN
92,3,14,TN
93,3,15,TN
94,3,16,TN
95,3,17,TN
96,3,18,TN
97,3,19,TN
98,3,20,TN
99,3,21,TN
100,3,22,TN
101,3,23,TN
102,3,24,TN
103,3,25,TN
104,4,0,TP
105,4,1,TP
106,4,2,TP
107,4,3,TP
108,4,4,TP
109,4,5,TP
